date,active_addresses,n_transactions,hash_rate,miners_revenue,mempool_size
2009-07-03,82.0,82.0,4.12595237925926e-06,0.0,
2009-07-04,82.0,89.0,4.42421399703704e-06,0.0,
2009-07-05,79.0,79.0,3.97682157037037e-06,0.0,
2009-07-06,84.0,84.0,4.5236345362963e-06,0.0,
2009-07-07,69.0,69.0,3.13174698666667e-06,0.0,
2009-07-08,74.0,74.0,3.92711130074074e-06,0.0,
2009-07-09,86.0,86.0,4.02653184e-06,0.0,
2009-07-10,81.0,81.0,4.07624210962963e-06,0.0,
2009-07-11,83.0,83.0,4.17566264888889e-06,0.0,
2009-07-12,77.0,77.0,3.77798049185185e-06,0.0,
2009-07-13,78.0,78.0,3.77798049185185e-06,0.0,
2009-07-14,69.0,69.0,3.57913941333333e-06,0.0,
2009-07-15,45.0,45.0,2.28667240296296e-06,0.0,
2009-07-16,71.0,71.0,3.43000860444444e-06,0.0,
2009-07-17,48.0,48.0,3.23116752592593e-06,0.0,
2009-07-18,4.0,4.0,1.49130808888889e-07,0.0,
2009-07-19,69.0,69.0,2.58493402074074e-06,0.0,
2009-07-20,72.0,71.0,3.72827022222222e-06,0.0,
2009-07-21,82.0,82.0,3.67855995259259e-06,0.0,
2009-07-22,61.0,61.0,3.43000860444444e-06,0.0,
2009-07-23,75.0,75.0,3.28087779555556e-06,0.0,
2009-07-24,73.0,73.0,3.72827022222222e-06,0.0,
2009-07-25,33.0,33.0,2.63464429037037e-06,0.0,
2009-07-26,20.0,20.0,6.46233505185185e-07,0.0,
2009-07-27,74.0,74.0,3.1814572562963e-06,0.0,
2009-07-28,41.0,41.0,2.1872518637037e-06,0.0,
2009-07-29,21.0,21.0,1.59072862814815e-06,0.0,
2009-07-30,16.0,15.0,6.95943774814815e-07,0.0,
2009-07-31,17.0,17.0,5.96523235555555e-07,0.0,
2009-08-01,28.0,28.0,1.14333620148148e-06,0.0,
2009-08-02,23.0,23.0,1.49130808888889e-06,0.0,
2009-08-03,12.0,12.0,7.45654044444445e-07,0.0,
2009-08-04,81.0,81.0,2.88319563851852e-06,0.0,
2009-08-05,87.0,87.0,4.5236345362963e-06,0.0,
2009-08-06,90.0,90.0,4.77218588444444e-06,0.0,
2009-08-07,82.0,81.0,3.67855995259259e-06,0.0,
2009-08-08,80.0,80.0,4.07624210962963e-06,0.0,
2009-08-09,101.0,101.0,4.8716064237037e-06,0.0,
2009-08-10,75.0,75.0,4.07624210962963e-06,0.0,
2009-08-11,70.0,70.0,3.33058806518518e-06,0.0,
2009-08-12,63.0,63.0,3.38029833481481e-06,0.0,
2009-08-13,85.0,85.0,4.02653184e-06,0.0,
2009-08-14,63.0,63.0,3.23116752592593e-06,0.0,
2009-08-15,26.0,26.0,1.69014916740741e-06,0.0,
2009-08-16,20.0,20.0,1.24275674074074e-06,0.0,
2009-08-17,17.0,17.0,8.45074583703704e-07,0.0,
2009-08-18,9.0,9.0,4.47392426666667e-07,0.0,
2009-08-19,18.0,18.0,7.45654044444445e-07,0.0,
2009-08-20,23.0,23.0,1.19304647111111e-06,0.0,
2009-08-21,13.0,13.0,7.95364314074074e-07,0.0,
2009-08-22,7.0,7.0,3.97682157037037e-07,0.0,
2009-08-23,15.0,15.0,5.96523235555555e-07,0.0,
2009-08-24,15.0,15.0,3.97682157037037e-07,0.0,
2009-08-25,51.0,51.0,2.73406482962963e-06,0.0,
2009-08-26,51.0,50.0,2.08783132444444e-06,0.0,
2009-08-27,29.0,29.0,1.49130808888889e-06,0.0,
2009-08-28,75.0,75.0,3.1814572562963e-06,0.0,
2009-08-29,78.0,78.0,4.12595237925926e-06,0.0,
2009-08-30,97.0,98.0,4.47392426666667e-06,0.0,
2009-08-31,87.0,87.0,4.67276534518518e-06,0.0,
2009-09-01,79.0,79.0,3.92711130074074e-06,0.0,
2009-09-02,65.0,65.0,3.38029833481481e-06,0.0,
2009-09-03,62.0,62.0,2.98261617777778e-06,0.0,
2009-09-04,64.0,64.0,3.13174698666667e-06,0.0,
2009-09-05,76.0,76.0,3.5294291437037e-06,0.0,
2009-09-06,68.0,68.0,3.57913941333333e-06,0.0,
2009-09-07,79.0,79.0,3.87740103111111e-06,0.0,
2009-09-08,69.0,69.0,3.28087779555556e-06,0.0,
2009-09-09,54.0,54.0,2.88319563851852e-06,0.0,
2009-09-10,67.0,67.0,3.03232644740741e-06,0.0,
2009-09-11,67.0,67.0,3.38029833481481e-06,0.0,
2009-09-12,69.0,69.0,3.5294291437037e-06,0.0,
2009-09-13,75.0,75.0,3.47971887407407e-06,0.0,
2009-09-14,74.0,74.0,4.02653184e-06,0.0,
2009-09-15,45.0,45.0,2.78377509925926e-06,0.0,
2009-09-16,72.0,72.0,2.88319563851852e-06,0.0,
2009-09-17,86.0,85.0,4.12595237925926e-06,0.0,
2009-09-18,78.0,78.0,4.02653184e-06,0.0,
2009-09-19,74.0,74.0,3.5294291437037e-06,0.0,
2009-09-20,78.0,78.0,3.92711130074074e-06,0.0,
2009-09-21,70.0,70.0,3.67855995259259e-06,0.0,
2009-09-22,27.0,27.0,1.69014916740741e-06,0.0,
2009-09-23,35.0,35.0,1.34217728e-06,0.0,
2009-09-24,97.0,97.0,4.07624210962963e-06,0.0,
2009-09-25,93.0,93.0,4.97102696296296e-06,0.0,
2009-09-26,100.0,100.0,4.67276534518518e-06,0.0,
2009-09-27,88.0,88.0,4.42421399703704e-06,0.0,
2009-09-28,85.0,85.0,4.37450372740741e-06,0.0,
2009-09-29,90.0,90.0,4.12595237925926e-06,0.0,
2009-09-30,85.0,85.0,4.32479345777778e-06,0.0,
2009-10-01,82.0,82.0,4.22537291851852e-06,0.0,
2009-10-02,73.0,73.0,3.72827022222222e-06,0.0,
2009-10-03,58.0,58.0,2.88319563851852e-06,0.0,
2009-10-04,53.0,53.0,3.03232644740741e-06,0.0,
2009-10-05,55.0,55.0,2.88319563851852e-06,0.0,
2009-10-06,45.0,46.0,2.03812105481482e-06,0.0,
2009-10-07,59.0,59.0,2.53522375111111e-06,0.0,
2009-10-08,70.0,70.0,3.47971887407407e-06,0.0,
2009-10-09,77.0,77.0,3.87740103111111e-06,0.0,
2009-10-10,79.0,79.0,3.82769076148148e-06,0.0,
2009-10-11,74.0,74.0,3.92711130074074e-06,0.0,
2009-10-12,59.0,59.0,3.08203671703704e-06,0.0,
2009-10-13,57.0,57.0,2.53522375111111e-06,0.0,
2009-10-14,69.0,69.0,2.78377509925926e-06,0.0,
2009-10-15,71.0,71.0,4.22537291851852e-06,0.0,
2009-10-16,61.0,61.0,3.23116752592593e-06,0.0,
2009-10-17,57.0,57.0,2.73406482962963e-06,0.0,
2009-10-18,75.0,75.0,3.1814572562963e-06,0.0,
2009-10-19,112.0,112.0,4.92131669333333e-06,0.0,
2009-10-20,97.0,96.0,5.51783992888889e-06,0.0,
2009-10-21,81.0,81.0,4.12595237925926e-06,0.0,
2009-10-22,91.0,91.0,4.27508318814815e-06,0.0,
2009-10-23,89.0,89.0,4.32479345777778e-06,0.0,
2009-10-24,63.0,63.0,3.72827022222222e-06,0.0,
2009-10-25,76.0,76.0,3.62884968296296e-06,0.0,
2009-10-26,71.0,71.0,3.23116752592593e-06,0.0,
2009-10-27,65.0,65.0,3.28087779555556e-06,0.0,
2009-10-28,67.0,67.0,3.1814572562963e-06,0.0,
2009-10-29,47.0,47.0,2.48551348148148e-06,0.0,
2009-10-30,60.0,60.0,3.03232644740741e-06,0.0,
2009-10-31,46.0,46.0,2.23696213333333e-06,0.0,
2009-11-01,25.0,25.0,1.49130808888889e-06,0.0,
2009-11-02,33.0,33.0,1.64043889777778e-06,0.0,
2009-11-03,62.0,62.0,2.83348536888889e-06,0.0,
2009-11-04,64.0,64.0,3.08203671703704e-06,0.0,
2009-11-05,58.0,58.0,3.1814572562963e-06,0.0,
2009-11-06,61.0,61.0,2.43580321185185e-06,0.0,
2009-11-07,69.0,69.0,3.77798049185185e-06,0.0,
2009-11-08,73.0,73.0,3.47971887407407e-06,0.0,
2009-11-09,64.0,64.0,3.23116752592593e-06,0.0,
2009-11-10,78.0,78.0,3.5294291437037e-06,0.0,
2009-11-11,66.0,73.0,3.43000860444444e-06,0.0,
2009-11-12,66.0,66.0,3.47971887407407e-06,0.0,
2009-11-13,83.0,83.0,3.47971887407407e-06,0.0,
2009-11-14,79.0,79.0,4.12595237925926e-06,0.0,
2009-11-15,96.0,96.0,4.77218588444444e-06,0.0,
2009-11-16,97.0,97.0,4.97102696296296e-06,0.0,
2009-11-17,92.0,92.0,4.5236345362963e-06,0.0,
2009-11-18,79.0,79.0,3.92711130074074e-06,0.0,
2009-11-19,72.0,72.0,3.62884968296296e-06,0.0,
2009-11-20,86.0,86.0,4.07624210962963e-06,0.0,
2009-11-21,73.0,73.0,3.82769076148148e-06,0.0,
2009-11-22,106.0,106.0,4.97102696296296e-06,0.0,
2009-11-23,96.0,96.0,4.77218588444444e-06,0.0,
2009-11-24,93.0,93.0,5.07044750222222e-06,0.0,
2009-11-25,90.0,90.0,4.22537291851852e-06,0.0,
2009-11-26,84.0,84.0,3.87740103111111e-06,0.0,
2009-11-27,74.0,74.0,3.72827022222222e-06,0.0,
2009-11-28,71.0,71.0,3.87740103111111e-06,0.0,
2009-11-29,60.0,60.0,2.88319563851852e-06,0.0,
2009-11-30,75.0,75.0,3.67855995259259e-06,0.0,
2009-12-01,75.0,74.0,3.28087779555556e-06,0.0,
2009-12-02,94.0,94.0,4.8716064237037e-06,0.0,
2009-12-03,88.0,88.0,4.22537291851852e-06,0.0,
2009-12-04,36.0,36.0,2.43580321185185e-06,0.0,
2009-12-05,36.0,65.0,2.58493402074074e-06,0.0,
2009-12-06,105.0,105.0,5.21957831111111e-06,0.0,
2009-12-07,112.0,112.0,4.67276534518518e-06,0.0,
2009-12-08,106.0,107.0,5.91552208592593e-06,0.0,
2009-12-09,109.0,109.0,4.67276534518518e-06,0.0,
2009-12-10,104.0,104.0,5.12015777185185e-06,0.0,
2009-12-11,112.0,112.0,6.2137837037037e-06,0.0,
2009-12-12,111.0,112.0,5.02073723259259e-06,0.0,
2009-12-13,114.0,114.0,5.16986804148148e-06,0.0,
2009-12-14,108.0,107.0,5.36870912e-06,0.0,
2009-12-15,113.0,112.0,5.76639127703704e-06,0.0,
2009-12-16,137.0,137.0,5.91552208592593e-06,0.0,
2009-12-17,173.0,172.0,8.00335341037037e-06,0.0,
2009-12-18,225.0,225.0,9.94205392592593e-06,0.0,
2009-12-19,199.0,199.0,1.1135100397037e-05,0.0,
2009-12-20,175.0,175.0,8.69929718518519e-06,0.0,
2009-12-21,176.0,176.0,9.29582042074074e-06,0.0,
2009-12-22,162.0,162.0,7.5559609837037e-06,0.0,
2009-12-23,154.0,154.0,8.40103556740741e-06,0.0,
2009-12-24,154.0,154.0,7.15827882666667e-06,0.0,
2009-12-25,151.0,150.0,7.80451233185185e-06,0.0,
2009-12-26,174.0,174.0,7.90393287111111e-06,0.0,
2009-12-27,168.0,168.0,8.40103556740741e-06,0.0,
2009-12-28,137.0,137.0,6.86001720888889e-06,0.0,
2009-12-29,171.0,171.0,8.15248421925926e-06,0.0,
2009-12-30,141.0,141.0,9.17315174809093e-06,0.0,
2009-12-31,138.0,138.0,8.8203382193182e-06,0.0,
2010-01-01,133.0,133.0,6.9974683206591e-06,0.0,
2010-01-02,127.0,127.0,7.6442931234091e-06,0.0,
2010-01-03,186.0,186.0,9.58476753165911e-06,0.0,
2010-01-04,184.0,183.0,1.11724284111364e-05,0.0,
2010-01-05,198.0,198.0,1.22308689974546e-05,0.0,
2010-01-06,163.0,163.0,9.29075625768183e-06,0.0,
2010-01-07,154.0,154.0,9.34955851247729e-06,0.0,
2010-01-08,153.0,153.0,8.8203382193182e-06,0.0,
2010-01-09,151.0,151.0,8.70273370972729e-06,0.0,
2010-01-10,190.0,190.0,1.12312306659318e-05,0.0,
2010-01-11,159.0,159.0,9.05554723850002e-06,0.0,
2010-01-12,162.0,161.0,1.07692484138424e-05,0.0,
2010-01-13,168.0,166.0,1.02502484902837e-05,0.0,
2010-01-14,146.0,145.0,1.02502484902837e-05,0.0,
2010-01-15,142.0,142.0,8.82299870049741e-06,0.0,
2010-01-16,126.0,126.0,8.69324871960773e-06,0.0,
2010-01-17,131.0,131.0,7.97962382471457e-06,0.0,
2010-01-18,127.0,126.0,8.4337487578284e-06,0.0,
2010-01-19,124.0,124.0,7.72012386293523e-06,0.0,
2010-01-20,158.0,158.0,9.08249866227674e-06,0.0,
2010-01-21,183.0,184.0,1.15477482991804e-05,0.0,
2010-01-22,136.0,136.0,9.73124856672508e-06,0.0,
2010-01-23,163.0,162.0,9.79612355716991e-06,0.0,
2010-01-24,155.0,155.0,9.40687361450091e-06,0.0,
2010-01-25,215.0,215.0,1.35648225052015e-05,0.0,
2010-01-26,201.0,201.0,1.34980007194616e-05,0.0,
2010-01-27,165.0,166.0,1.18274560759639e-05,0.0,
2010-01-28,178.0,179.0,1.15601689330042e-05,0.0,
2010-01-29,199.0,201.0,1.28966046478024e-05,0.0,
2010-01-30,214.0,214.0,1.20279214331836e-05,0.0,
2010-01-31,167.0,167.0,1.37652878624212e-05,0.0,
2010-02-01,193.0,193.0,1.19610996474437e-05,0.0,
2010-02-02,146.0,146.0,9.48869357506706e-06,0.0,
2010-02-03,271.0,272.0,1.62376939347979e-05,0.0,
2010-02-04,234.0,234.0,1.5435832505919e-05,0.0,
2010-02-05,228.0,227.0,2.21493497278633e-05,0.0,
2010-02-06,195.0,206.0,1.72674522368241e-05,0.0,
2010-02-07,224.0,222.0,1.87139403823172e-05,0.0,
2010-02-08,208.0,208.0,1.90755624186905e-05,0.0,
2010-02-09,211.0,210.0,1.88947514005038e-05,0.0,
2010-02-10,171.0,173.0,1.43744759458378e-05,0.0,
2010-02-11,172.0,174.0,1.60921806186109e-05,0.0,
2010-02-12,189.0,188.0,1.69058302004508e-05,0.0,
2010-02-13,235.0,235.0,2.02508340369036e-05,0.0,
2010-02-14,215.0,219.0,1.86235348732239e-05,0.0,
2010-02-15,187.0,185.0,2.32460914215077e-05,0.0,
2010-02-16,202.0,201.0,2.1989545939264e-05,0.0,
2010-02-17,248.0,250.0,2.91518551880528e-05,0.0,
2010-02-18,214.0,215.0,2.87748915433797e-05,0.0,
2010-02-19,197.0,195.0,2.24921641321615e-05,0.0,
2010-02-20,210.0,210.0,2.78953097058092e-05,0.0,
2010-02-21,227.0,227.0,2.68900733200143e-05,0.0,
2010-02-22,266.0,265.0,3.20419097972132e-05,0.0,
2010-02-23,251.0,251.0,3.15392916043158e-05,0.0,
2010-02-24,176.0,177.0,3.57130536259464e-05,0.0,
2010-02-25,158.0,158.0,2.78185891402109e-05,0.0,
2010-02-26,177.0,176.0,3.19537848232152e-05,0.0,
2010-02-27,175.0,175.0,3.25176751436248e-05,0.0,
2010-02-28,159.0,159.0,3.04500773021227e-05,0.0,
2010-03-01,199.0,199.0,3.49611998654001e-05,0.0,
2010-03-02,193.0,193.0,3.68408342667657e-05,0.0,
2010-03-03,157.0,158.0,2.78185891402109e-05,0.0,
2010-03-04,188.0,188.0,3.42093461048539e-05,0.0,
2010-03-05,173.0,173.0,3.2893602023898e-05,0.0,
2010-03-06,182.0,183.0,3.43973095449905e-05,0.0,
2010-03-07,183.0,183.0,3.25176751436248e-05,0.0,
2010-03-08,132.0,130.0,3.06328161893475e-05,0.0,
2010-03-09,148.0,148.0,3.33357117354664e-05,0.0,
2010-03-10,170.0,169.0,3.35609530309763e-05,0.0,
2010-03-11,136.0,136.0,3.28852291444466e-05,0.0,
2010-03-12,123.0,123.0,2.65784728701692e-05,0.0,
2010-03-13,154.0,154.0,3.55881246905655e-05,0.0,
2010-03-14,127.0,127.0,2.81551619387385e-05,0.0,
2010-03-15,143.0,140.0,2.79299206432286e-05,0.0,
2010-03-16,129.0,129.0,3.06328161893475e-05,0.0,
2010-03-17,139.0,139.0,2.77046793477187e-05,0.0,
2010-03-18,148.0,149.0,3.51376420995457e-05,0.0,
2010-03-19,162.0,162.0,2.99570923028178e-05,0.0,
2010-03-20,207.0,204.0,4.34715700334123e-05,0.0,
2010-03-21,187.0,190.0,4.07686744872934e-05,0.0,
2010-03-22,185.0,186.0,4.01675798141592e-05,0.0,
2010-03-23,215.0,220.0,4.65217732310883e-05,0.0,
2010-03-24,180.0,182.0,3.9486773376631e-05,0.0,
2010-03-25,201.0,202.0,4.22099991267435e-05,0.0,
2010-03-26,204.0,213.0,4.42524184393279e-05,0.0,
2010-03-27,183.0,184.0,3.9486773376631e-05,0.0,
2010-03-28,190.0,192.0,4.40254829601518e-05,0.0,
2010-03-29,201.0,207.0,4.35716120017998e-05,0.0,
2010-03-30,218.0,221.0,4.78833861061445e-05,0.0,
